x	y
0.334170	0.000870
0.346910	0.003460
0.360130	0.012990
0.373860	0.013710
0.388110	0.027430
0.402900	0.054130
0.418260	0.056300
0.434200	0.081560
0.450750	0.129200
0.467940	0.165280
0.485770	0.194880
0.504290	0.256230
0.523510	0.269940
0.543470	0.277160
0.564180	0.331290
0.585690	0.496570
0.608010	0.591850
0.631190	0.496570
0.655240	0.375320
0.680220	0.489360
0.706150	1.164930
0.733060	2.477820
0.761010	3.529430
0.790010	3.525090
0.820130	2.272110
0.851390	1.164930
0.883840	0.515340
0.917530	0.280770
0.952500	0.306750
0.988810	0.668350
1.026500	1.709130
1.065630	4.165290
1.106240	8.235300
1.148410	12.751360
1.192180	14.471310
1.237630	11.595090
1.284800	6.614930
1.333770	2.745580
1.384610	1.077590
1.437390	0.594010
1.492180	0.537710
1.549060	1.061710
1.608100	1.895340
1.669400	2.626480
1.733030	2.701540
1.799090	2.011540
1.867660	1.156980
1.938850	0.566580
2.012760	0.427280
2.089480	0.492960
2.169120	0.538430
2.251800	0.498010
2.337630	0.382530
2.426740	0.221580
2.519240	0.158790
2.615260	0.127750
2.714950	0.116200
2.818430	0.106820
2.925860	0.090940
3.037390	0.091660
