X_150,Y_150,X_240,Y_240
0.33417,0.05718,0.30971,0.15136
0.34691,0.04901,0.32258,0.20181
0.36013,0.04084,0.33599,0.16818
0.37386,0.04901,0.34996,0.05045
0.38811,0.04901,0.3645,0.16818
0.4029,0.08168,0.37966,0.2859
0.41826,0.10618,0.39544,0.30272
0.4342,0.08168,0.41187,0.57181
0.45075,0.08985,0.42899,0.40363
0.46794,0.19603,0.44682,0.73999
0.48577,0.23687,0.4654,0.73999
0.50429,0.45741,0.48474,1.5977
0.52351,0.56359,0.50489,1.95087
0.54347,0.64527,0.52587,1.02589
0.56418,0.41657,0.54773,0.87453
0.58569,0.52275,0.5705,1.19407
0.60801,1.46206,0.59421,3.46448
0.63119,2.66275,0.61891,5.71806
0.65524,3.74092,0.64463,7.16439
0.68022,3.6184,0.67143,4.72581
0.70615,1.74794,0.69934,2.13586
0.73306,0.78412,0.72841,0.77362
0.76101,0.8413,0.75868,0.62226
0.79001,0.8168,0.79022,0.65589
0.82013,0.80046,0.82306,0.89134
0.85139,0.71878,0.85727,1.00907
0.88384,2.03382,0.89291,3.14492
0.91753,5.36634,0.93002,8.05569
0.9525,11.52497,0.96868,14.44642
0.98881,15.92748,1.00894,15.15276
1.0265,13.19122,1.05088,11.26786
1.06563,7.91473,1.09456,4.52396
1.10624,2.58107,1.14005,1.46314
1.14841,0.98832,1.18744,0.67271
1.19218,0.62893,1.23679,0.2859
1.23763,0.47374,1.2882,0.28506
1.2848,0.57992,1.34174,0.48939
1.33377,0.57992,1.39751,0.30188
1.38461,0.79229,1.4556,0.13454
1.43739,1.5274,1.5161,0.33635
1.49218,2.82609,1.57912,0.50453
1.54906,3.52036,1.64476,0.33635
1.6081,2.85059,1.71312,0.48771
1.6694,1.85411,1.78433,0.13454
1.73303,0.69427,1.8585,0.11688
1.79909,0.39206,1.93574,0.1017
1.86766,0.50641,2.0162,0.03368
1.93885,0.4819,2.10001,0.01682
2.01276,0.53908,2.18729,0.03196
2.08948,0.49824,2.27821,0.00256
2.16912,0.24504,2.3729,0.01674
2.2518,0.12252,2.47153,0.03115
2.33763,0.14702,2.57426,0.0016
2.42674,0.10618,2.68126,0.00092
2.51924,0.06534,2.79271,0.01518
2.61526,0.08168,2.90879,0.00164
2.71495,0.0245,3.02969,0.01518
2.81843,0.0241,3.15562,0.00076
2.92586,0.03349,3.28679,7E-05
3.03739,0.04043,3.4234,0.0016
