X_150,Y_150
0.33417,0.25962
0.34691,0.23969
0.36013,0.22724
0.37386,0.17059
0.38811,0.14257
0.4029,0.14008
0.41826,0.13012
0.4342,0.11829
0.45075,0.1295
0.46794,0.13386
0.48577,0.20234
0.50429,0.33993
0.52351,0.49371
0.54347,0.50616
0.56418,0.3916
0.58569,0.40779
0.60801,0.93512
0.63119,2.12176
0.65524,3.47587
0.68022,3.77533
0.70615,2.72691
0.73306,1.3398
0.76101,0.6425
0.79001,0.4495
0.82013,0.38289
0.85139,0.48935
0.88384,1.09761
0.91753,3.45844
0.9525,8.33822
0.98881,13.57723
1.0265,15.28247
1.06563,11.90622
1.10624,6.53273
1.14841,2.55257
1.19218,0.86725
1.23763,0.44265
1.2848,0.3667
1.33377,0.38475
1.38461,0.51238
1.43739,0.94756
1.49218,1.74508
1.54906,2.48346
1.6081,2.59863
1.6694,1.91504
1.73303,1.06896
1.79909,0.46133
1.86766,0.28701
1.93885,0.32872
2.01276,0.39471
2.08948,0.4688
2.16912,0.45697
2.2518,0.30631
2.33763,0.19798
2.42674,0.11704
2.51924,0.11518
2.61526,0.11206
2.71495,0.09463
2.81843,0.07595
2.92586,0.06599
3.03739,0.06724
