X_150,Y_150,X_240,Y_240
0.33328,0.01658,0.30881,0.01653
0.34414,0.02076,0.31978,0.02755
0.35535,0.01959,0.33114,0.03306
0.36693,0.02009,0.3429,0.07163
0.37889,0.01641,0.35509,0.03857
0.39123,0.01725,0.3677,0.10469
0.40398,0.01992,0.38076,0.13224
0.41715,0.02679,0.39429,0.14877
0.43074,0.05693,0.40829,0.31407
0.44477,0.08037,0.4228,0.42427
0.45927,0.05693,0.43782,0.3306
0.47423,0.14399,0.45337,0.56753
0.48968,0.26454,0.46947,0.95874
0.50564,0.40518,0.48615,1.1626
0.52211,0.51234,0.50342,1.39402
0.53913,0.51569,0.5213,1.37749
0.55669,0.27124,0.53982,0.79344
0.57483,0.30138,0.559,0.87609
0.59356,0.67642,0.57886,1.70258
0.6129,1.4801,0.59942,2.8211
0.63287,2.4512,0.62071,4.72755
0.6535,3.0707,0.64276,5.11325
0.67479,2.76597,0.6656,4.23165
0.69678,1.63078,0.68924,2.23153
0.71948,0.8673,0.71372,1.17913
0.74292,0.63624,0.73908,0.84302
0.76713,0.79697,0.76533,0.71629
0.79213,0.6195,0.79252,0.74935
0.81794,0.78358,0.82067,0.74384
0.84459,0.68647,0.84982,0.9422
0.87211,1.24234,0.88001,1.95603
0.90053,3.20129,0.91127,4.85426
0.92987,6.4662,0.94364,8.41919
0.96017,9.59382,0.97717,11.72515
0.99145,11.238,1.01188,11.52128
1.02376,9.97891,1.04782,8.35306
1.05712,6.03757,1.08504,4.38591
1.09156,2.73248,1.12359,1.55931
1.12713,1.22225,1.1635,0.78241
1.16386,0.78023,1.20483,0.51793
1.20178,0.70656,1.24763,0.41324
1.24094,0.76349,1.29195,0.44079
1.28137,0.8405,1.33785,0.33611
1.32313,0.81037,1.38537,0.32509
1.36624,0.88069,1.43458,0.43528
1.41076,1.49683,1.48555,0.71629
1.45672,2.34403,1.53832,0.9422
1.50419,3.17449,1.59296,1.4436
1.5532,3.6366,1.64955,1.54278
1.60381,2.96687,1.70815,1.30034
1.65607,1.98238,1.76883,0.7769
1.71003,0.89743,1.83166,0.3912
1.76575,0.55587,1.89673,0.24795
1.82329,0.58936,1.9641,0.19836
1.8827,0.77353,2.03388,0.14326
1.94404,0.88738,2.10612,0.13775
2.00739,1.02467,2.18094,0.26448
2.0728,0.90077,2.25841,0.25897
2.14034,0.73669,2.33864,0.23142
2.21008,0.40183,2.42172,0.18734
2.28209,0.29133,2.50774,0.08816
2.35645,0.20761,2.59683,0.06061
2.43323,0.29133,2.68907,0.04959
2.51252,0.31142,2.7846,0.04959
2.59438,0.25449,2.88352,0.02755
2.67892,0.17078,2.98595,0.03857
2.76621,0.13729,3.09202,0.03857
2.85634,0.09041,3.20186,0.027
2.94941,0.05358,3.3156,0.02314
3.04552,0.09711,3.43338,0.01598
